model,added_term,adj_r2,aic,added_beta,added_p,test_rmse,test_dir_hit
Base 3-factor (no interaction),-,0.6271513246179372,-698.3502737974314,,,0.04451457671634002,0.8214285714285714
+National T×P interaction,INTX_NAT_10m,0.6339580436876093,-700.5545349102898,0.0010384279340316497,0.05229318693039728,0.0322519165098125,0.8571428571428571
+National hot-dry compound,HOTDRY_NAT_10m,0.6259452599124895,-696.9166311565899,-0.0005475383267123976,0.47628172527799784,0.042117800738239036,0.8214285714285714
+3-region hot-dry (sum),HOTDRY_ALL_10m,0.6268841317465995,-697.3388387471638,-0.00021824798737081393,0.346673611352289,0.042964611092438036,0.8214285714285714
+West interaction,INTX_West_10m,0.6374005595314352,-702.142001577823,0.0010021892385876168,0.02273682010058827,0.031040927614922265,0.8928571428571429
+Sarawak interaction,INTX_Sarawak_10m,0.6258049794373668,-696.8536385000301,0.00032371799571639524,0.5018918684403122,0.04035799595609326,0.7857142857142857
+Sabah interaction,INTX_Sabah_10m,0.6258710605874525,-696.883309160966,0.00016458700680182318,0.48955058048420697,0.0447678618645805,0.8214285714285714
+West hot-dry,HOTDRY_West_10m,0.6256711105972546,-696.7935469917185,-0.00039448320524528935,0.5285900319983788,0.04237680673004694,0.8214285714285714
+Sarawak hot-dry,HOTDRY_Sarawak_10m,0.6261371165439416,-697.0028222390735,-0.0007496754344356545,0.4445232701046591,0.04312769591431639,0.8214285714285714
+Sabah hot-dry,HOTDRY_Sabah_10m,0.6265964588028352,-697.2093603804052,-0.00033932412890210595,0.380339668346378,0.04463683082426303,0.7857142857142857
