YM,TAVG_C,TAVG_C_CLIMATOLOGY,TAVG_C_ANOMALY,TAVG_F,TMAX_C,TMIN_C,DAYS_REPORTED,TAVG_DAYS,TMAX_DAYS,TMIN_DAYS
1955-01,25.896,27.092,-1.196,78.61290322580645,29.337,22.338,31,31,31,24
1955-02,25.933,27.118,-1.185,78.67857142857143,29.187,22.164,28,28,28,19
1955-03,26.738,27.622,-0.884,80.12903225806451,30.358,22.083,31,31,31,24
1955-04,27.407,28.346,-0.939,81.33333333333333,31.037,23.156,30,30,30,25
1955-05,27.401,28.55,-1.149,81.3225806451613,31.147,23.422,31,31,31,25
1955-06,26.87,28.125,-1.255,80.36666666666666,30.574,22.826,30,30,30,23
1955-07,26.792,27.779,-0.987,80.2258064516129,30.735,22.756,31,31,31,25
1955-08,26.434,27.921,-1.487,79.58064516129032,30.341,22.844,31,31,31,25
1955-09,26.519,27.722,-1.203,79.73333333333333,30.296,22.778,30,30,30,23
1955-10,26.953,27.519,-0.566,80.51612903225806,30.896,22.894,31,31,31,24
1955-11,26.778,27.497,-0.719,80.2,30.352,23.125,30,30,30,24
1955-12,,27.401,,,,,31,0,0,0
1956-01,25.663,27.092,-1.429,78.19354838709677,29.283,22.249,31,31,31,21
1956-02,26.169,27.118,-0.949,79.10344827586206,29.603,22.415,29,29,28,23
1956-03,26.703,27.622,-0.919,80.06451612903226,30.412,22.44,31,31,31,23
1956-04,27.37,28.346,-0.976,81.26666666666667,31.185,23.03,30,30,30,22
1956-05,27.276,28.55,-1.274,81.09677419354838,31.147,23.38,31,31,31,24
1956-06,27.185,28.125,-0.94,80.93333333333334,31.222,22.955,30,30,30,22
1956-07,26.72,27.779,-1.059,80.09677419354838,30.627,22.536,31,31,31,23
1956-08,27.043,27.921,-0.878,80.6774193548387,30.591,22.705,31,31,31,23
1956-09,26.981,27.722,-0.741,80.56666666666666,30.667,23.005,30,30,30,22
1956-10,26.362,27.519,-1.157,79.45161290322581,30.054,22.714,31,31,31,26
1956-11,26.13,27.497,-1.367,79.03333333333333,29.574,22.609,30,30,30,23
1956-12,25.806,27.401,-1.595,78.45161290322581,29.229,22.778,31,31,31,24
1957-01,25.95,27.092,-1.142,78.70967741935483,29.516,22.44,31,31,31,23
1957-02,26.091,27.118,-1.027,78.96428571428571,29.484,22.045,28,28,28,22
1957-03,26.792,27.622,-0.83,80.2258064516129,30.161,22.802,31,31,31,23
1957-04,27.685,28.346,-0.661,81.83333333333333,31.167,23.069,30,30,30,21
1957-05,28.28,28.55,-0.27,82.90322580645162,31.953,24.116,31,31,31,22
1957-06,27.741,28.125,-0.384,81.93333333333334,31.444,23.409,30,30,30,22
1957-07,27.33,27.779,-0.449,81.19354838709677,31.129,23.022,31,31,31,25
1957-08,27.76,27.921,-0.161,81.96774193548387,31.129,23.289,31,31,31,25
1957-09,27.426,27.722,-0.296,81.36666666666666,30.778,23.148,30,30,30,21
1957-10,27.097,27.519,-0.422,80.7741935483871,30.609,23.14,31,31,31,23
1957-11,27.148,27.497,-0.349,80.86666666666666,30.463,23.116,30,30,30,23
1957-12,27.222,27.401,-0.179,81.0,30.86,23.148,31,31,31,27
1958-01,27.276,27.092,0.184,81.09677419354838,30.932,23.086,31,31,31,27
1958-02,27.163,27.118,0.045,80.89285714285714,30.794,22.778,28,28,28,22
1958-03,27.76,27.622,0.138,81.96774193548387,31.398,23.009,31,31,31,24
1958-04,28.407,28.346,0.061,83.13333333333334,32.111,23.671,30,30,30,23
1958-05,28.172,28.55,-0.378,82.70967741935483,31.774,24.167,31,31,31,24
1958-06,27.981,28.125,-0.144,82.36666666666666,31.722,24.005,30,30,30,24
1958-07,27.76,27.779,-0.019,81.96774193548387,31.487,23.111,31,31,31,25
1958-08,26.9,27.921,-1.021,80.41935483870968,30.43,23.283,31,31,31,22
1958-09,27.444,27.722,-0.278,81.4,30.981,23.489,30,30,30,25
1958-10,26.72,27.519,-0.799,80.09677419354838,30.072,23.601,31,31,31,27
1958-11,26.0,27.497,-1.497,78.8,29.093,22.889,30,30,30,20
1958-12,26.756,27.401,-0.645,80.16129032258064,30.018,22.874,31,31,31,23
1959-01,26.47,27.092,-0.622,79.64516129032258,29.839,22.444,31,31,31,25
1959-02,26.964,27.118,-0.154,80.53571428571429,30.456,22.8,28,28,28,25
1959-03,27.151,27.622,-0.471,80.87096774193549,30.538,23.333,31,31,31,25
1959-04,27.981,28.346,-0.365,82.36666666666666,31.463,23.939,30,30,30,22
1959-05,27.616,28.55,-0.934,81.70967741935483,31.254,24.343,31,31,31,22
1959-06,27.315,28.125,-0.81,81.16666666666667,30.778,23.757,30,30,30,21
1959-07,27.276,27.779,-0.503,81.09677419354838,30.484,23.21,31,31,31,27
1959-08,27.258,27.921,-0.663,81.06451612903226,30.735,23.128,31,31,31,27
1959-09,26.759,27.722,-0.963,80.16666666666667,30.241,22.929,30,30,30,22
1959-10,26.738,27.519,-0.781,80.12903225806451,29.946,23.116,31,31,31,23
1959-11,26.167,27.497,-1.33,79.1,29.426,22.937,30,30,30,21
1959-12,26.595,27.401,-0.806,79.87096774193549,30.054,23.148,31,31,31,27
1960-01,26.416,27.092,-0.676,79.54838709677419,29.677,22.639,31,31,31,24
1960-02,26.169,27.118,-0.949,79.10344827586206,29.368,22.727,29,29,29,22
1960-03,26.971,27.622,-0.651,80.54838709677419,30.43,22.424,31,31,31,22
1960-04,27.407,28.346,-0.939,81.33333333333333,31.056,23.511,30,30,30,25
1960-05,27.401,28.55,-1.149,81.3225806451613,31.004,23.803,31,31,31,26
1960-06,27.389,28.125,-0.736,81.3,31.019,23.444,30,30,30,20
1960-07,27.043,27.779,-0.736,80.6774193548387,30.573,23.483,31,31,31,26
1960-08,27.993,27.921,0.072,82.38709677419355,31.326,23.696,31,31,31,23
1960-09,26.574,27.722,-1.148,79.83333333333333,30.167,23.194,30,30,30,24
1960-10,27.186,27.519,-0.333,80.93548387096774,30.663,23.472,31,31,31,24
1960-11,26.537,27.497,-0.96,79.76666666666667,30.0,23.111,30,30,30,25
1960-12,27.115,27.401,-0.286,80.80645161290323,30.448,23.102,31,31,31,24
1961-01,26.093,27.092,-0.999,78.96774193548387,29.48,21.995,31,31,31,22
1961-02,26.31,27.118,-0.808,79.35714285714286,29.722,22.702,28,28,28,22
1961-03,27.115,27.622,-0.507,80.80645161290323,30.358,23.426,31,31,31,24
1961-04,27.333,28.346,-1.013,81.2,30.556,23.671,30,30,30,23
1961-05,27.975,28.55,-0.575,82.35483870967742,31.326,24.116,31,31,31,22
1961-06,27.204,28.125,-0.921,80.96666666666667,30.63,23.285,30,30,30,23
1961-07,27.258,27.779,-0.521,81.06451612903226,30.968,22.917,31,31,31,24
1961-08,27.24,27.921,-0.681,81.03225806451613,30.573,23.156,31,31,31,25
1961-09,27.148,27.722,-0.574,80.86666666666666,30.63,23.092,30,30,30,23
1961-10,26.846,27.519,-0.673,80.3225806451613,30.376,22.923,31,31,31,23
1961-11,26.963,27.497,-0.534,80.53333333333333,30.63,22.955,30,30,30,22
1961-12,26.362,27.401,-1.039,79.45161290322581,29.892,23.009,31,31,31,24
1962-01,25.735,27.092,-1.357,78.3225806451613,29.176,22.751,31,31,31,21
1962-02,25.794,27.118,-1.324,78.42857142857143,28.869,22.348,28,28,28,22
1962-03,26.559,27.622,-1.063,79.80645161290323,29.928,23.022,31,31,31,25
1962-04,27.278,28.346,-1.068,81.1,30.481,23.632,30,30,30,26
1962-05,27.616,28.55,-0.934,81.70967741935483,31.111,24.021,31,31,31,21
1962-06,27.315,28.125,-0.81,81.16666666666667,31.056,23.309,30,30,30,23
1962-07,27.545,27.779,-0.234,81.58064516129032,30.896,23.413,31,31,31,21
1962-08,26.649,27.921,-1.272,79.96774193548387,30.215,22.94,31,31,31,24
1962-09,27.333,27.722,-0.389,81.2,30.648,23.357,30,30,30,23
1962-10,27.294,27.519,-0.225,81.12903225806451,30.627,23.46,31,31,31,22
1962-11,26.556,27.497,-0.941,79.8,29.923,22.986,30,30,29,24
1962-12,26.272,27.401,-1.129,79.29032258064517,29.731,22.98,31,31,31,22
1963-01,24.892,27.092,-2.2,76.80645161290323,27.814,22.407,31,31,31,24
1963-02,25.139,27.118,-1.979,77.25,28.333,22.09,28,28,28,21
1963-03,26.039,27.622,-1.583,78.87096774193549,29.176,22.731,31,31,31,24
1963-04,27.222,28.346,-1.124,81.0,30.556,23.056,30,30,30,24
1963-05,27.796,28.55,-0.754,82.03225806451613,31.165,24.156,31,31,31,27
1963-06,27.907,28.125,-0.218,82.23333333333333,31.426,23.644,30,30,30,25
1963-07,27.527,27.779,-0.252,81.54838709677419,31.037,23.472,31,31,30,24
1963-08,27.097,27.921,-0.824,80.7741935483871,30.538,23.2,31,31,31,25
1963-09,27.741,27.722,0.019,81.93333333333334,31.241,23.75,30,30,30,24
1963-10,27.222,27.519,-0.297,81.0,30.538,23.287,31,31,31,24
1963-11,27.352,27.497,-0.145,81.23333333333333,30.796,23.386,30,30,30,21
1963-12,26.81,27.401,-0.591,80.25806451612904,30.341,22.97,31,31,31,26
1964-01,27.204,27.092,0.112,80.96774193548387,30.753,23.081,31,31,31,22
1964-02,26.533,27.118,-0.585,79.75862068965517,30.23,22.488,29,29,29,23
1964-03,27.025,27.622,-0.597,80.64516129032258,30.663,23.169,31,31,31,27
1964-04,27.759,28.346,-0.587,81.96666666666667,31.37,24.028,30,30,30,24
1964-05,27.885,28.55,-0.665,82.19354838709677,31.398,24.145,31,31,31,26
1964-06,27.204,28.125,-0.921,80.96666666666667,30.556,23.454,30,30,30,23
1964-07,26.738,27.779,-1.041,80.12903225806451,30.287,23.164,31,31,31,23
1964-08,27.168,27.921,-0.753,80.90322580645162,30.717,23.311,31,31,31,25
1964-09,26.759,27.722,-0.963,80.16666666666667,30.315,23.222,30,30,30,25
1964-10,26.452,27.519,-1.067,79.61290322580645,29.892,22.956,31,31,31,25
1964-11,26.296,27.497,-1.201,79.33333333333333,29.167,23.032,30,30,30,24
1964-12,25.986,27.401,-1.415,78.7741935483871,29.05,22.374,31,31,31,22
1965-01,25.88,27.092,-1.212,78.58333333333333,28.333,21.111,31,12,2,4
1965-02,25.833,27.118,-1.285,78.5,29.365,21.944,28,14,7,8
1965-03,26.083,27.622,-1.539,78.95,29.778,22.944,31,20,10,10
1965-04,27.753,28.346,-0.593,81.95454545454545,30.808,23.444,30,22,11,10
1965-05,27.415,28.55,-1.135,81.34615384615384,31.019,23.485,31,26,12,11
1965-06,27.46,28.125,-0.665,81.42857142857143,31.042,23.148,30,28,16,12
1965-07,27.244,27.779,-0.535,81.03846153846153,30.833,23.056,31,26,8,2
1965-08,26.858,27.921,-1.063,80.34482758620689,30.494,22.857,31,29,9,7
1965-09,27.395,27.722,-0.327,81.3103448275862,30.889,23.175,30,29,5,7
1965-10,27.184,27.519,-0.335,80.93103448275862,30.476,23.333,31,29,14,11
1965-11,27.63,27.497,0.133,81.73333333333333,30.864,23.148,30,30,9,6
1965-12,26.82,27.401,-0.581,80.27586206896552,29.877,23.148,31,29,9,6
1966-01,,27.092,,,,,31,0,0,0
1966-02,,27.118,,,,,28,0,0,0
1966-03,,27.622,,,,,31,0,0,0
1966-04,,28.346,,,,,30,0,0,0
1966-05,,28.55,,,,,31,0,0,0
1966-06,,28.125,,,,,30,0,0,0
1966-07,,27.779,,,,,31,0,0,0
1966-08,,27.921,,,,,31,0,0,0
1966-09,,27.722,,,,,30,0,0,0
1966-10,,27.519,,,,,31,0,0,0
1966-11,,27.497,,,,,30,0,0,0
1966-12,,27.401,,,,,31,0,0,0
1967-01,,27.092,,,,,31,0,0,0
1967-02,,27.118,,,,,28,0,0,0
1967-03,,27.622,,,,,31,0,0,0
1967-04,,28.346,,,,,30,0,0,0
1967-05,,28.55,,,,,31,0,0,0
1967-06,,28.125,,,,,30,0,0,0
1967-07,,27.779,,,,,31,0,0,0
1967-08,,27.921,,,,,31,0,0,0
1967-09,,27.722,,,,,30,0,0,0
1967-10,,27.519,,,,,31,0,0,0
1967-11,,27.497,,,,,30,0,0,0
1967-12,,27.401,,,,,31,0,0,0
1968-01,,27.092,,,,,31,0,0,0
1968-02,,27.118,,,,,29,0,0,0
1968-03,,27.622,,,,,31,0,0,0
1968-04,,28.346,,,,,30,0,0,0
1968-05,,28.55,,,,,31,0,0,0
1968-06,,28.125,,,,,30,0,0,0
1968-07,,27.779,,,,,31,0,0,0
1968-08,,27.921,,,,,31,0,0,0
1968-09,,27.722,,,,,30,0,0,0
1968-10,,27.519,,,,,31,0,0,0
1968-11,,27.497,,,,,30,0,0,0
1968-12,,27.401,,,,,31,0,0,0
1969-01,,27.092,,,,,31,0,0,0
1969-02,,27.118,,,,,28,0,0,0
1969-03,,27.622,,,,,31,0,0,0
1969-04,,28.346,,,,,30,0,0,0
1969-05,,28.55,,,,,31,0,0,0
1969-06,,28.125,,,,,30,0,0,0
1969-07,,27.779,,,,,31,0,0,0
1969-08,,27.921,,,,,31,0,0,0
1969-09,,27.722,,,,,30,0,0,0
1969-10,,27.519,,,,,31,0,0,0
1969-11,,27.497,,,,,30,0,0,0
1969-12,,27.401,,,,,31,0,0,0
1970-01,,27.092,,,,,31,0,0,0
1970-02,,27.118,,,,,28,0,0,0
1970-03,,27.622,,,,,31,0,0,0
1970-04,,28.346,,,,,30,0,0,0
1970-05,,28.55,,,,,31,0,0,0
1970-06,,28.125,,,,,30,0,0,0
1970-07,,27.779,,,,,31,0,0,0
1970-08,,27.921,,,,,31,0,0,0
1970-09,,27.722,,,,,30,0,0,0
1970-10,,27.519,,,,,31,0,0,0
1970-11,,27.497,,,,,30,0,0,0
1970-12,,27.401,,,,,31,0,0,0
1971-01,,27.092,,,,,31,0,0,0
1971-02,,27.118,,,,,28,0,0,0
1971-03,,27.622,,,,,31,0,0,0
1971-04,,28.346,,,,,30,0,0,0
1971-05,,28.55,,,,,31,0,0,0
1971-06,,28.125,,,,,30,0,0,0
1971-07,,27.779,,,,,31,0,0,0
1971-08,,27.921,,,,,31,0,0,0
1971-09,,27.722,,,,,30,0,0,0
1971-10,,27.519,,,,,31,0,0,0
1971-11,,27.497,,,,,30,0,0,0
1971-12,,27.401,,,,,31,0,0,0
1972-01,,27.092,,,,,31,0,0,0
1972-02,,27.118,,,,,29,0,0,0
1972-03,,27.622,,,,,31,0,0,0
1972-04,,28.346,,,,,30,0,0,0
1972-05,,28.55,,,,,31,0,0,0
1972-06,,28.125,,,,,30,0,0,0
1972-07,,27.779,,,,,31,0,0,0
1972-08,,27.921,,,,,31,0,0,0
1972-09,,27.722,,,,,30,0,0,0
1972-10,,27.519,,,,,31,0,0,0
1972-11,,27.497,,,,,30,0,0,0
1972-12,,27.401,,,,,31,0,0,0
1973-01,26.963,27.092,-0.129,80.53333333333333,,,31,30,0,0
1973-02,27.428,27.118,0.31,81.37037037037037,,,28,27,0,0
1973-03,27.616,27.622,-0.006,81.70967741935483,,,31,31,0,0
1973-04,27.241,28.346,-1.105,81.03333333333333,,,30,30,0,0
1973-05,27.204,28.55,-1.346,80.96774193548387,,,31,31,0,0
1973-06,27.315,28.125,-0.81,81.16666666666667,,,30,30,0,0
1973-07,26.88,27.779,-0.899,80.38461538461539,,,31,26,0,0
1973-08,26.989,27.921,-0.932,80.58064516129032,,,31,31,0,0
1973-09,25.87,27.722,-1.852,78.56666666666666,,,30,30,0,0
1973-10,27.061,27.519,-0.458,80.70967741935483,,,31,31,0,0
1973-11,26.054,27.497,-1.443,78.89655172413794,,,30,29,0,0
1973-12,25.842,27.401,-1.559,78.51612903225806,,,31,31,0,0
1974-01,25.036,27.092,-2.056,77.06451612903226,,,31,31,0,0
