Date,LAT,LON,T2M,PRCP
2007-01,0.5,99.375,24.62,456.28
2007-01,0.5,100.0,22.75,465.08
2007-01,0.5,100.625,24.5,383.55
2007-01,0.5,101.25,25.51,286.09
2007-01,0.5,101.875,25.63,255.02
2007-01,0.5,102.5,25.63,254.44
2007-01,0.5,103.125,26.03,350.64
2007-01,0.5,103.75,26.73,408.03
2007-01,0.5,104.375,26.89,403.49
2007-01,0.5,105.0,27.03,272.67
2007-01,0.5,105.625,26.97,183.3
2007-01,0.5,106.25,26.94,178.23
2007-01,0.5,106.875,26.99,178.0
2007-01,0.5,107.5,27.04,216.06
2007-01,0.5,108.125,27.17,237.0
2007-01,0.5,108.75,26.87,330.92
2007-01,0.5,109.375,25.55,429.88
2007-01,0.5,110.0,25.17,426.58
2007-01,0.5,110.625,25.37,441.53
2007-01,0.5,111.25,25.58,307.24
2007-01,0.5,111.875,25.58,293.72
2007-01,0.5,112.5,25.25,211.64
2007-01,0.5,113.125,24.09,194.37
2007-01,0.5,113.75,23.06,216.49
2007-01,0.5,114.375,23.34,266.15
2007-01,0.5,115.0,23.91,300.93
2007-01,0.5,115.625,24.1,329.96
2007-01,0.5,116.25,25.18,320.65
2007-01,0.5,116.875,25.58,317.36
2007-01,0.5,117.5,25.88,323.1
2007-01,0.5,118.125,27.36,315.1
2007-01,0.5,118.75,27.64,287.03
2007-01,0.5,119.375,27.5,272.98
2007-01,1.0,99.375,23.49,417.73
2007-01,1.0,100.0,23.83,401.76
2007-01,1.0,100.625,25.37,327.18
2007-01,1.0,101.25,25.62,260.69
2007-01,1.0,101.875,25.63,249.97
2007-01,1.0,102.5,25.93,271.61
2007-01,1.0,103.125,26.42,394.37
2007-01,1.0,103.75,26.51,450.38
2007-01,1.0,104.375,26.68,451.84
2007-01,1.0,105.0,26.96,290.08
2007-01,1.0,105.625,26.9,162.04
2007-01,1.0,106.25,26.86,160.23
2007-01,1.0,106.875,26.9,168.62
2007-01,1.0,107.5,26.9,219.75
2007-01,1.0,108.125,27.05,251.05
2007-01,1.0,108.75,26.62,358.49
2007-01,1.0,109.375,25.39,497.68
2007-01,1.0,110.0,24.59,526.93
2007-01,1.0,110.625,25.27,581.06
2007-01,1.0,111.25,25.58,411.25
2007-01,1.0,111.875,25.25,352.4
2007-01,1.0,112.5,25.12,228.84
2007-01,1.0,113.125,24.08,195.38
2007-01,1.0,113.75,22.37,201.12
2007-01,1.0,114.375,22.53,234.26
2007-01,1.0,115.0,23.13,282.71
2007-01,1.0,115.625,22.11,333.82
2007-01,1.0,116.25,23.51,337.64
2007-01,1.0,116.875,25.36,335.82
2007-01,1.0,117.5,25.1,333.69
2007-01,1.0,118.125,25.97,316.21
2007-01,1.0,118.75,26.46,286.12
2007-01,1.0,119.375,27.43,286.36
2007-01,1.5,99.375,22.91,395.05
2007-01,1.5,100.0,25.14,381.31
2007-01,1.5,100.625,25.54,310.24
2007-01,1.5,101.25,25.66,240.67
2007-01,1.5,101.875,25.95,238.02
2007-01,1.5,102.5,26.44,255.21
2007-01,1.5,103.125,26.25,389.35
2007-01,1.5,103.75,25.77,451.42
2007-01,1.5,104.375,26.55,472.88
2007-01,1.5,105.0,26.89,304.55
2007-01,1.5,105.625,26.83,153.53
2007-01,1.5,106.25,26.79,154.69
2007-01,1.5,106.875,26.78,171.26
2007-01,1.5,107.5,26.75,225.62
2007-01,1.5,108.125,26.89,257.6
2007-01,1.5,108.75,26.77,334.69
2007-01,1.5,109.375,25.48,462.58
2007-01,1.5,110.0,25.26,544.36
2007-01,1.5,110.625,25.95,635.63
2007-01,1.5,111.25,25.78,527.22
2007-01,1.5,111.875,24.71,436.43
2007-01,1.5,112.5,24.19,326.85
2007-01,1.5,113.125,23.93,286.48
2007-01,1.5,113.75,23.56,284.62
2007-01,1.5,114.375,22.3,283.78
2007-01,1.5,115.0,21.97,310.09
2007-01,1.5,115.625,21.7,343.54
2007-01,1.5,116.25,21.86,355.79
2007-01,1.5,116.875,24.41,353.37
2007-01,1.5,117.5,24.39,346.87
2007-01,1.5,118.125,25.84,317.81
