YM,PRCP,TAVG_C,TAVG_C_CLIMATOLOGY,TAVG_C_ANOMALY,PRCP_GRID_COUNT,TAVG_C_GRID_COUNT,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,SOURCE,PRCP_UNIT,TAVG_UNIT
2007-01,239.665,25.903,26.221,-0.318,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-02,71.004,26.089,26.377,-0.288,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-03,117.649,27.039,27.091,-0.052,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-04,155.523,27.705,27.961,-0.256,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-05,149.553,27.872,28.415,-0.543,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-06,204.129,27.807,28.14,-0.333,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-07,230.987,27.409,27.807,-0.398,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-08,165.456,27.213,27.677,-0.464,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-09,209.047,27.207,27.63,-0.422,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-10,316.812,27.034,27.563,-0.529,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-11,206.12,26.617,27.251,-0.634,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2007-12,298.847,26.075,26.69,-0.615,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-01,166.562,26.011,26.221,-0.21,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-02,128.639,25.974,26.377,-0.402,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-03,200.328,26.274,27.091,-0.817,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-04,129.486,27.441,27.961,-0.52,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-05,122.364,27.749,28.415,-0.666,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-06,163.536,27.543,28.14,-0.597,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-07,205.734,27.108,27.807,-0.7,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-08,189.249,27.231,27.677,-0.446,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-09,214.289,27.326,27.63,-0.304,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-10,243.011,27.408,27.563,-0.155,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-11,362.16,27.193,27.251,-0.058,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2008-12,359.864,26.298,26.69,-0.392,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-01,227.125,25.523,26.221,-0.697,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-02,94.152,26.037,26.377,-0.34,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-03,193.113,26.896,27.091,-0.195,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-04,129.247,27.754,27.961,-0.207,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-05,145.049,28.045,28.415,-0.37,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-06,101.811,28.133,28.14,-0.007,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-07,167.324,27.686,27.807,-0.122,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-08,175.274,27.653,27.677,-0.025,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-09,178.571,27.659,27.63,0.03,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-10,233.893,27.429,27.563,-0.134,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-11,371.985,27.094,27.251,-0.158,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2009-12,305.61,26.474,26.69,-0.216,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-01,150.961,26.457,26.221,0.237,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-02,63.631,27.076,26.377,0.699,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-03,114.404,27.577,27.091,0.487,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-04,130.512,28.264,27.961,0.303,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-05,152.353,28.862,28.415,0.447,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-06,206.313,28.145,28.14,0.005,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-07,238.646,27.592,27.807,-0.215,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-08,182.165,27.644,27.677,-0.034,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-09,210.378,27.668,27.63,0.038,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-10,241.403,27.624,27.563,0.061,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-11,298.986,26.945,27.251,-0.307,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2010-12,328.632,26.142,26.69,-0.548,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-01,319.258,25.648,26.221,-0.572,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-02,73.071,25.969,26.377,-0.408,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-03,249.625,26.347,27.091,-0.744,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-04,114.613,26.94,27.961,-1.02,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-05,145.219,27.911,28.415,-0.504,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-06,149.485,27.83,28.14,-0.31,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-07,115.908,27.66,27.807,-0.148,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-08,157.457,27.479,27.677,-0.198,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-09,192.276,27.47,27.63,-0.16,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-10,277.168,27.231,27.563,-0.332,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-11,333.836,26.971,27.251,-0.28,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2011-12,385.763,26.341,26.69,-0.349,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-01,226.078,25.962,26.221,-0.259,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-02,122.68,26.375,26.377,-0.002,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-03,178.187,26.899,27.091,-0.192,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-04,151.184,27.625,27.961,-0.336,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-05,182.722,28.032,28.415,-0.383,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-06,120.809,28.007,28.14,-0.133,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-07,182.236,27.431,27.807,-0.377,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-08,143.192,27.567,27.677,-0.11,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-09,180.069,27.347,27.63,-0.282,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-10,200.072,27.361,27.563,-0.202,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-11,236.636,27.125,27.251,-0.126,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2012-12,394.141,26.954,26.69,0.264,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-01,179.08,26.452,26.221,0.231,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-02,231.32,26.316,26.377,-0.061,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-03,65.061,27.544,27.091,0.454,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-04,152.645,28.083,27.961,0.122,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-05,161.747,28.317,28.415,-0.098,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-06,135.571,28.347,28.14,0.207,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-07,211.309,27.685,27.807,-0.122,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-08,170.532,27.527,27.677,-0.15,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-09,230.462,27.359,27.63,-0.27,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-10,230.291,27.323,27.563,-0.24,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-11,277.918,27.052,27.251,-0.199,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2013-12,409.982,26.228,26.69,-0.462,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2014-01,143.253,25.304,26.221,-0.917,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2014-02,20.612,25.882,26.377,-0.495,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
2014-03,57.373,26.891,27.091,-0.199,192,192,1.0,6.5,100.0,109.375,NASA POWER regional monthly,mm/month,C
