"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-01","13.87"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-02","17.59"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-03","10.00"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-04","9.16"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-05","7.93"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-06","6.15"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-07","5.52"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-08","7.80"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-09","26.35"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2006-10","15.11"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-01","5.28"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-02","2.41"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-03","7.19"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-04","4.16"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-05","1.33"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-06","3.63"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-07","3.07"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-08","4.09"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-09","8.46"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-10","12.32"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-11","8.15"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2011-12","4.36"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-01","5.14"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-02","6.35"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-03","8.13"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-04","5.92"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-05","4.37"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-06","0.78"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-07","5.94"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-08","3.91"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-09","10.64"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-10","10.56"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-11","18.65"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2012-12","8.94"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-01","8.04"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-02","7.02"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-03","3.64"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-04","1.05"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-05","1.29"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-06","0.12"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-07","5.12"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-08","5.60"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-09","3.92"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-10","6.00"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-11","11.33"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2013-12","7.10"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-01","3.34"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-02","0.15"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-03","3.77"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-04","5.08"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-05","11.77"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-06","3.51"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-07","2.32"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-08","5.67"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-09","7.11"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-10","9.28"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-11","20.06"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2014-12","15.08"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-01","7.45"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-02","2.40"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-05","6.99"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-06","5.98"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-07","4.51"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-08","1.96"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-09","6.90"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-10","2.82"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-11","14.40"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2015-12","10.06"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-01","3.29"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-02","4.07"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-03","3.61"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-04","1.19"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-05","13.60"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-06","4.74"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-07","7.37"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-08","2.54"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-09","8.74"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-10","5.68"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-11","7.10"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2016-12","4.63"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-01","9.30"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-02","6.80"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-03","7.60"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-04","9.31"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-05","4.74"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-06","4.76"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-07","3.85"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-08","8.61"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-09","12.20"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-10","6.41"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-11","11.98"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2017-12","4.64"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-01","11.61"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-02","2.26"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-03","8.16"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-04","4.26"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-05","7.68"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-06","8.78"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-07","5.01"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-08","4.28"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-09","7.13"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-10","12.47"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-11","16.10"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2018-12","12.30"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-01","6.62"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-02","3.40"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-03","5.19"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-04","4.32"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-05","2.14"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-06","7.73"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-07","2.63"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-08","4.36"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2019-09","4.87"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2020-05","9.88"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2020-06","10.23"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2020-08","3.28"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2020-09","6.46"
"MYM00048650","KUALA LUMPUR INTERNATIONAL, MY","2.746","101.71","21.0","2020-11","6.96"
