PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2007,0.5,100.0,465.08,344.29,289.51,324.89,229.12,239.9,401.63,189.92,383.45,651.11,329.17,322.38,4170.45
PRECTOTCORR_SUM,2007,0.5,100.625,383.55,273.4,265.89,364.39,257.08,187.0,252.04,184.16,324.06,523.31,275.0,246.07,3535.95
PRECTOTCORR_SUM,2007,0.5,101.25,286.09,214.59,246.68,351.34,294.88,140.37,184.95,183.17,286.26,445.88,264.95,185.96,3085.12
PRECTOTCORR_SUM,2007,0.5,101.875,255.02,199.27,244.84,342.85,312.91,124.77,171.81,179.92,279.54,421.24,267.9,172.18,2972.25
PRECTOTCORR_SUM,2007,0.5,102.5,254.44,146.15,234.17,272.41,294.66,117.51,159.93,169.57,234.59,324.58,253.17,213.69,2674.87
PRECTOTCORR_SUM,2007,0.5,103.125,350.64,121.06,246.67,221.52,243.52,140.7,164.96,179.84,187.85,263.61,255.45,294.35,2670.17
PRECTOTCORR_SUM,2007,0.5,103.75,408.03,127.79,254.74,218.93,224.36,156.87,171.41,189.87,170.35,246.64,258.79,334.58,2762.36
PRECTOTCORR_SUM,2007,0.5,104.375,403.49,153.3,247.31,227.34,241.72,165.29,184.66,202.53,163.66,249.32,248.61,363.99,2851.22
PRECTOTCORR_SUM,2007,0.5,105.0,272.67,107.99,170.57,165.7,200.52,176.4,217.05,157.33,143.22,209.46,221.47,297.31,2339.69
PRECTOTCORR_SUM,2007,0.5,105.625,183.3,50.93,110.57,96.88,136.01,173.28,226.17,108.62,127.77,174.38,207.09,221.75,1816.75
PRECTOTCORR_SUM,2007,0.5,106.25,178.23,51.36,101.77,87.09,126.4,164.62,223.8,103.67,128.32,184.1,202.12,219.62,1771.1
PRECTOTCORR_SUM,2007,0.5,106.875,178.0,59.22,93.59,79.52,122.47,171.16,232.33,97.59,145.72,209.51,206.86,235.92,1831.89
PRECTOTCORR_SUM,2007,0.5,99.375,456.28,365.73,297.81,286.58,236.38,263.26,507.45,203.09,420.23,758.34,397.12,331.6,4523.87
PRECTOTCORR_SUM,2007,1.0,100.0,401.76,351.62,306.01,314.8,268.26,223.13,466.9,207.1,416.7,741.22,399.91,277.58,4374.99
PRECTOTCORR_SUM,2007,1.0,100.625,327.18,261.0,266.9,357.38,276.63,172.03,273.85,196.03,332.42,558.91,310.11,205.63,3538.07
PRECTOTCORR_SUM,2007,1.0,101.25,260.69,194.75,229.53,338.14,279.17,141.68,188.86,195.23,274.78,458.76,262.58,165.05,2989.22
PRECTOTCORR_SUM,2007,1.0,101.875,249.97,188.56,229.38,337.19,285.28,134.92,178.42,191.68,268.61,438.47,260.42,159.84,2922.74
PRECTOTCORR_SUM,2007,1.0,102.5,271.61,135.37,217.62,263.21,249.75,137.46,173.16,190.07,222.77,365.72,250.12,207.82,2684.68
PRECTOTCORR_SUM,2007,1.0,103.125,394.37,114.81,247.96,222.16,199.87,158.71,172.7,193.4,182.92,302.42,273.83,298.09,2761.24
PRECTOTCORR_SUM,2007,1.0,103.75,450.38,121.62,261.9,217.58,185.32,168.78,175.24,197.63,169.69,283.43,285.67,341.35,2858.59
PRECTOTCORR_SUM,2007,1.0,104.375,451.84,150.88,249.76,237.19,216.7,175.34,188.99,203.61,165.97,287.71,287.64,385.11,3000.74
PRECTOTCORR_SUM,2007,1.0,105.0,290.08,104.41,161.09,165.76,188.15,178.28,216.04,154.59,149.14,231.73,244.81,307.24,2391.32
PRECTOTCORR_SUM,2007,1.0,105.625,162.04,44.71,95.44,80.93,115.15,168.7,220.35,103.16,129.55,174.95,193.32,204.85,1693.15
