-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2007 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2007,1.0,100.0,401.76,351.62,306.01,314.8,268.26,223.13,466.9,207.1,416.7,741.22,399.91,277.58,4374.99
PRECTOTCORR_SUM,2007,1.0,100.625,327.18,261.0,266.9,357.38,276.63,172.03,273.85,196.03,332.42,558.91,310.11,205.63,3538.07
PRECTOTCORR_SUM,2007,1.0,101.25,260.69,194.75,229.53,338.14,279.17,141.68,188.86,195.23,274.78,458.76,262.58,165.05,2989.22
PRECTOTCORR_SUM,2007,1.0,101.875,249.97,188.56,229.38,337.19,285.28,134.92,178.42,191.68,268.61,438.47,260.42,159.84,2922.74
PRECTOTCORR_SUM,2007,1.0,102.5,271.61,135.37,217.62,263.21,249.75,137.46,173.16,190.07,222.77,365.72,250.12,207.82,2684.68
PRECTOTCORR_SUM,2007,1.0,103.125,394.37,114.81,247.96,222.16,199.87,158.71,172.7,193.4,182.92,302.42,273.83,298.09,2761.24
PRECTOTCORR_SUM,2007,1.0,103.75,450.38,121.62,261.9,217.58,185.32,168.78,175.24,197.63,169.69,283.43,285.67,341.35,2858.59
PRECTOTCORR_SUM,2007,1.0,104.375,451.84,150.88,249.76,237.19,216.7,175.34,188.99,203.61,165.97,287.71,287.64,385.11,3000.74
PRECTOTCORR_SUM,2007,1.0,105.0,290.08,104.41,161.09,165.76,188.15,178.28,216.04,154.59,149.14,231.73,244.81,307.24,2391.32
PRECTOTCORR_SUM,2007,1.0,105.625,162.04,44.71,95.44,80.93,115.15,168.7,220.35,103.16,129.55,174.95,193.32,204.85,1693.15
PRECTOTCORR_SUM,2007,1.0,106.25,160.23,46.01,88.64,73.82,106.96,160.9,215.94,99.81,129.23,182.52,184.93,203.94,1652.93
PRECTOTCORR_SUM,2007,1.0,106.875,168.62,55.08,83.58,66.87,104.33,164.91,217.36,94.22,142.91,201.98,183.28,222.25,1705.39
PRECTOTCORR_SUM,2007,1.0,107.5,219.75,86.92,86.98,81.08,153.56,253.71,260.81,108.21,205.74,254.06,237.21,313.87,2261.9
PRECTOTCORR_SUM,2007,1.0,108.125,251.05,103.54,96.6,100.81,191.04,304.39,283.15,115.56,235.03,284.85,260.71,361.44,2588.17
PRECTOTCORR_SUM,2007,1.0,108.75,358.49,157.16,132.09,157.31,269.04,419.02,329.82,118.57,292.02,347.22,305.79,487.12,3373.65
PRECTOTCORR_SUM,2007,1.0,109.375,497.68,222.63,172.13,202.54,282.99,436.1,328.1,142.62,315.83,364.38,348.0,558.82,3871.82
PRECTOTCORR_SUM,2007,1.5,100.0,381.31,352.65,308.21,310.48,273.61,220.84,503.3,211.66,424.09,773.61,431.01,261.52,4452.29
PRECTOTCORR_SUM,2007,1.5,100.625,310.24,244.79,260.85,353.56,251.48,177.01,292.25,195.66,312.96,554.59,316.37,194.55,3464.31
PRECTOTCORR_SUM,2007,1.5,101.25,240.67,156.91,203.19,308.59,237.19,150.4,192.7,198.03,239.32,432.08,238.94,163.74,2761.76
PRECTOTCORR_SUM,2007,1.5,101.875,238.02,151.27,201.7,313.59,231.48,148.8,181.92,194.44,229.66,411.46,232.45,160.98,2695.77
PRECTOTCORR_SUM,2007,1.5,102.5,255.21,101.5,185.94,231.6,207.29,150.92,182.2,203.19,193.94,373.61,227.1,205.25,2517.75
