-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2007 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2007,1.0,100.0,23.83,24.12,24.25,24.63,24.79,24.46,24.02,23.97,24.05,24.1,23.86,23.59,24.14
T2M,2007,1.0,100.625,25.37,25.57,25.84,26.03,26.26,25.97,25.53,25.63,25.64,25.62,25.4,25.08,25.66
T2M,2007,1.0,101.25,25.62,25.74,26.0,26.27,26.47,26.3,25.73,25.89,25.86,25.86,25.57,25.33,25.89
T2M,2007,1.0,101.875,25.63,25.75,26.05,26.39,26.54,26.36,25.79,25.88,25.99,26.02,25.7,25.43,25.96
T2M,2007,1.0,102.5,25.93,26.15,26.65,27.06,27.11,26.96,26.32,26.33,26.53,26.62,26.22,25.88,26.48
T2M,2007,1.0,103.125,26.42,26.61,27.3,27.91,27.97,27.95,27.31,27.21,27.31,27.38,26.9,26.46,27.23
T2M,2007,1.0,103.75,26.51,26.65,27.44,28.17,28.28,28.19,27.71,27.53,27.53,27.58,27.08,26.54,27.44
T2M,2007,1.0,104.375,26.68,26.61,27.36,28.12,28.3,28.19,27.82,27.58,27.58,27.65,27.16,26.67,27.48
T2M,2007,1.0,105.0,26.96,26.73,27.37,28.19,28.35,28.39,28.06,27.74,27.68,27.69,27.32,27.02,27.63
T2M,2007,1.0,105.625,26.9,26.72,27.37,28.15,28.32,28.39,28.07,27.71,27.68,27.65,27.32,27.01,27.61
T2M,2007,1.0,106.25,26.86,26.71,27.35,28.09,28.26,28.38,28.06,27.66,27.7,27.65,27.31,26.95,27.59
T2M,2007,1.0,106.875,26.9,26.73,27.35,28.04,28.29,28.42,28.11,27.65,27.68,27.67,27.35,26.87,27.59
T2M,2007,1.0,107.5,26.9,26.77,27.39,28.0,28.32,28.43,28.09,27.65,27.64,27.64,27.31,26.9,27.59
T2M,2007,1.0,108.125,27.05,26.84,27.5,27.96,28.34,28.42,28.1,27.72,27.67,27.65,27.38,27.11,27.65
T2M,2007,1.0,108.75,26.62,26.41,27.12,27.61,27.96,27.8,27.41,27.22,27.13,27.13,26.81,26.57,27.15
T2M,2007,1.0,109.375,25.39,25.38,25.87,26.27,26.57,26.14,25.8,25.89,25.97,25.76,25.33,25.23,25.8
T2M,2007,1.5,100.0,25.14,25.36,25.65,25.92,26.16,25.84,25.42,25.38,25.44,25.4,25.29,24.91,25.49
T2M,2007,1.5,100.625,25.54,25.67,25.93,26.14,26.41,26.2,25.71,25.78,25.78,25.73,25.49,25.26,25.8
T2M,2007,1.5,101.25,25.66,25.76,26.06,26.26,26.53,26.39,25.84,25.94,25.95,25.94,25.59,25.38,25.94
T2M,2007,1.5,101.875,25.95,26.1,26.55,26.84,27.14,26.99,26.43,26.49,26.52,26.5,26.18,25.85,26.46
T2M,2007,1.5,102.5,26.44,26.69,27.37,27.87,28.03,27.97,27.35,27.3,27.37,27.34,26.94,26.48,27.26
T2M,2007,1.5,103.125,26.25,26.4,27.25,27.96,28.05,28.03,27.4,27.26,27.34,27.33,26.89,26.28,27.21
T2M,2007,1.5,103.75,25.77,25.88,26.81,27.58,27.56,27.44,26.87,26.66,26.79,26.86,26.41,25.7,26.7
T2M,2007,1.5,104.375,26.55,26.43,27.27,28.07,28.22,28.08,27.75,27.51,27.53,27.48,27.1,26.51,27.38
T2M,2007,1.5,105.0,26.89,26.71,27.39,28.22,28.33,28.36,28.08,27.73,27.74,27.65,27.33,26.96,27.62
T2M,2007,1.5,105.625,26.83,26.73,27.41,28.18,28.29,28.38,28.09,27.72,27.73,27.65,27.32,26.93,27.61
T2M,2007,1.5,106.25,26.79,26.72,27.41,28.14,28.25,28.38,28.1,27.71,27.72,27.64,27.32,26.85,27.59
T2M,2007,1.5,106.875,26.78,26.71,27.38,28.1,28.3,28.4,28.13,27.71,27.71,27.67,27.3,26.76,27.58
T2M,2007,1.5,107.5,26.75,26.75,27.44,28.01,28.37,28.4,28.09,27.71,27.68,27.67,27.27,26.81,27.58
