Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,808.25,808.25,808.25,808.25,808.25,0
2014-01-03,800.75,800.75,800.75,800.75,800.75,0
2014-01-06,791.25,791.25,791.25,791.25,791.25,0
2014-01-07,779.25,779.25,779.25,779.25,779.25,0
2014-01-08,775.75,775.75,775.75,775.75,775.75,0
2014-01-09,773.75,773.75,773.75,773.75,773.75,0
2014-01-10,769.75,769.75,769.75,769.75,769.75,0
2014-01-13,765.25,765.25,765.25,765.25,765.25,0
2014-01-14,765.25,765.25,765.25,765.25,765.25,0
2014-01-15,768.5,768.5,768.5,768.5,768.5,0
2014-01-16,770.25,770.25,770.25,770.25,770.25,0
2014-01-17,770.25,770.25,770.25,770.25,770.25,0
2014-01-21,780.0,780.0,780.0,780.0,780.0,0
2014-01-22,773.25,773.25,773.25,773.25,773.25,0
2014-01-23,781.0,781.0,781.0,781.0,781.0,0
2014-01-24,777.25,777.25,777.25,777.25,777.25,0
2014-01-27,764.25,764.25,764.25,764.25,764.25,0
2014-01-28,757.0,757.0,757.0,757.0,757.0,0
2014-01-29,766.25,766.25,766.25,766.25,766.25,0
2014-01-30,764.75,764.75,764.75,764.75,764.75,0
2014-01-31,764.75,764.75,764.75,764.75,764.75,0
2014-02-03,764.75,764.75,764.75,764.75,764.75,0
2014-02-04,756.25,756.25,756.25,756.25,756.25,0
2014-02-05,766.5,766.5,766.5,766.5,766.5,0
2014-02-06,775.5,775.5,775.5,775.5,775.5,0
2014-02-07,775.5,775.5,775.5,775.5,775.5,0
2014-02-10,786.5,786.5,786.5,786.5,786.5,0
2014-02-11,781.0,781.0,781.0,781.0,781.0,0
2014-02-12,792.5,792.5,792.5,792.5,792.5,0
2014-02-13,798.75,798.75,798.75,798.75,798.75,0
2014-02-14,792.5,792.5,792.5,792.5,792.5,0
2014-02-18,823.0,823.0,823.0,823.0,823.0,0
2014-02-19,819.5,819.5,819.5,819.5,819.5,0
2014-02-20,834.0,834.0,834.0,834.0,834.0,0
2014-02-21,834.25,834.25,834.25,834.25,834.25,0
2014-02-24,830.75,830.75,830.75,830.75,830.75,0
2014-02-25,834.75,834.75,834.75,834.75,834.75,0
2014-02-26,856.5,856.5,856.5,856.5,856.5,0
2014-02-27,847.75,847.75,847.75,847.75,847.75,0
2014-02-28,854.75,854.75,854.75,854.75,854.75,0
2014-03-03,855.75,855.75,855.75,855.75,855.75,0
2014-03-04,853.0,853.0,853.0,853.0,853.0,0
2014-03-05,865.5,865.5,865.5,865.5,865.5,0
2014-03-06,878.5,878.5,878.5,878.5,878.5,0
