DATE,ID,INDEX_NAME,VALUE,RTIME
2025-12-31,S012222505,油棕:种植面积:马来西亚,5700050.0,2026-01-12 15:50:59
2024-12-31,S012222505,油棕:种植面积:马来西亚,5612852.0,2025-02-10 15:38:36
2023-12-31,S012222505,油棕:种植面积:马来西亚,5652569.0,2024-01-10 19:01:22
2022-12-31,S012222505,油棕:种植面积:马来西亚,5674742.0,2023-03-13 09:01:09
2021-12-31,S012222505,油棕:种植面积:马来西亚,5737731.0,2022-09-23 17:13:38
2020-12-31,S012222505,油棕:种植面积:马来西亚,5865297.0,2022-09-23 17:13:38
2019-12-31,S012222505,油棕:种植面积:马来西亚,5900157.0,2022-09-23 17:13:38
2018-12-31,S012222505,油棕:种植面积:马来西亚,5849330.0,2022-09-23 17:13:38
2017-12-31,S012222505,油棕:种植面积:马来西亚,5811145.0,2022-09-23 17:13:38
2016-12-31,S012222505,油棕:种植面积:马来西亚,5737985.0,2022-09-23 17:13:38
2015-12-31,S012222505,油棕:种植面积:马来西亚,5642943.0,2022-09-23 17:13:38
