DATE,ID,INDEX_NAME,VALUE,RTIME
2026-03-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4403.0,2026-05-26 13:16:23
2026-02-28,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,5015.0,2026-04-21 18:01:33
2026-01-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4778.0,2026-04-21 18:01:33
2025-12-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3842.0,2026-03-16 18:04:03
2025-11-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3885.0,2026-03-16 18:04:03
2025-10-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4352.0,2025-12-20 16:18:58
2025-09-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3932.0,2025-11-27 18:15:55
2025-08-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,5062.0,2025-10-30 09:37:25
2025-07-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,5113.0,2025-09-25 16:29:32
2025-06-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4823.0,2025-08-22 17:52:26
2025-05-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4165.0,2025-07-24 09:09:46
2025-04-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4479.0,2025-06-24 16:30:49
2025-03-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4391.0,2025-06-03 09:04:54
2025-02-28,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3789.0,2025-06-03 09:04:54
2025-01-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3828.0,2025-04-08 10:07:16
2024-12-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3876.0,2025-04-08 10:07:16
2024-11-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4333.0,2025-02-18 16:30:45
2024-10-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4423.0,2025-01-02 18:02:08
2024-09-30,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,4021.0,2024-11-26 17:47:31
2024-08-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3986.0,2024-10-22 17:50:29
2024-07-31,S019729740,棕榈油:毛棕榈油:产量:印度尼西亚,3617.0,2024-09-26 19:07:19
