DATE,ID,INDEX_NAME,VALUE,RTIME
2026-05-31,S002958800,产量:毛棕榈油:马来西亚,1516327.0,2026-06-10 19:00:34
2026-04-30,S002958800,产量:毛棕榈油:马来西亚,1629801.0,2026-05-11 16:45:10
2026-03-31,S002958800,产量:毛棕榈油:马来西亚,1376849.0,2026-04-10 15:49:51
2026-02-28,S002958800,产量:毛棕榈油:马来西亚,1284268.0,2026-04-10 15:49:51
2026-01-31,S002958800,产量:毛棕榈油:马来西亚,1576683.0,2026-04-10 15:49:51
2025-12-31,S002958800,产量:毛棕榈油:马来西亚,1829549.0,2026-02-10 17:40:30
2025-11-30,S002958800,产量:毛棕榈油:马来西亚,1935510.0,2025-12-10 16:09:34
2025-10-31,S002958800,产量:毛棕榈油:马来西亚,2043886.0,2025-11-10 16:16:32
2025-09-30,S002958800,产量:毛棕榈油:马来西亚,1840983.0,2025-11-10 16:16:32
2025-08-31,S002958800,产量:毛棕榈油:马来西亚,1854756.0,2025-11-10 16:16:32
2025-07-31,S002958800,产量:毛棕榈油:马来西亚,1812467.0,2025-11-10 16:16:32
2025-06-30,S002958800,产量:毛棕榈油:马来西亚,1692370.0,2025-08-11 13:42:06
2025-05-31,S002958800,产量:毛棕榈油:马来西亚,1771621.0,2025-06-10 13:59:40
2025-04-30,S002958800,产量:毛棕榈油:马来西亚,1686379.0,2025-06-10 13:59:40
2025-03-31,S002958800,产量:毛棕榈油:马来西亚,1387616.0,2026-04-10 15:49:51
2025-02-28,S002958800,产量:毛棕榈油:马来西亚,1188443.0,2026-03-10 15:32:50
2025-01-31,S002958800,产量:毛棕榈油:马来西亚,1239895.0,2026-02-10 17:40:30
2024-12-31,S002958800,产量:毛棕榈油:马来西亚,1486942.0,2026-01-12 15:42:27
2024-11-30,S002958800,产量:毛棕榈油:马来西亚,1621294.0,2024-12-10 19:02:37
2024-10-31,S002958800,产量:毛棕榈油:马来西亚,1797348.0,2024-11-11 17:47:41
2024-09-30,S002958800,产量:毛棕榈油:马来西亚,1821933.0,2024-10-10 15:25:21
2024-08-31,S002958800,产量:毛棕榈油:马来西亚,1893859.0,2024-09-10 15:29:28
2024-07-31,S002958800,产量:毛棕榈油:马来西亚,1840999.0,2024-08-12 15:26:42
2024-06-30,S002958800,产量:毛棕榈油:马来西亚,1615283.0,2024-07-10 15:23:41
2024-05-31,S002958800,产量:毛棕榈油:马来西亚,1704495.0,2024-07-10 11:46:13
2024-04-30,S002958800,产量:毛棕榈油:马来西亚,1501905.0,2024-07-10 11:46:13
2024-03-31,S002958800,产量:毛棕榈油:马来西亚,1392471.0,2024-04-15 15:22:21
2024-02-29,S002958800,产量:毛棕榈油:马来西亚,1259382.0,2025-03-10 13:34:02
2024-01-31,S002958800,产量:毛棕榈油:马来西亚,1402355.0,2024-03-11 15:19:56
2023-12-31,S002958800,产量:毛棕榈油:马来西亚,1550796.0,2024-02-13 15:17:55
2023-11-30,S002958800,产量:毛棕榈油:马来西亚,1788870.0,2023-12-12 15:18:58
2023-10-31,S002958800,产量:毛棕榈油:马来西亚,1937224.0,2023-11-10 15:18:11
2023-09-30,S002958800,产量:毛棕榈油:马来西亚,1829434.0,2023-10-10 15:20:16
2023-08-31,S002958800,产量:毛棕榈油:马来西亚,1753472.0,2023-09-11 15:21:26
2023-07-31,S002958800,产量:毛棕榈油:马来西亚,1609927.0,2023-10-10 15:20:16
2023-06-30,S002958800,产量:毛棕榈油:马来西亚,1447697.0,2023-08-10 11:21:13
2023-05-31,S002958800,产量:毛棕榈油:马来西亚,1517634.0,2023-08-10 11:21:13
2023-04-30,S002958800,产量:毛棕榈油:马来西亚,1194559.0,2023-07-10 15:20:55
2023-03-31,S002958800,产量:毛棕榈油:马来西亚,1288132.0,2023-08-10 11:21:13
2023-02-28,S002958800,产量:毛棕榈油:马来西亚,1253573.0,2023-10-10 15:20:16
2023-01-31,S002958800,产量:毛棕榈油:马来西亚,1380410.0,2023-02-10 15:40:04
2022-12-31,S002958800,产量:毛棕榈油:马来西亚,1618833.0,2023-02-10 15:40:04
2022-11-30,S002958800,产量:毛棕榈油:马来西亚,1680741.0,2023-01-11 11:05:21
