window_months,n_train,adj_r2,aic,focus_beta,focus_p,test_rmse,test_mae,test_dir_hit
1,168,0.6220714650111114,-696.0768179018236,-0.006399814499403637,0.40918353908280025,0.04189309129110668,0.036784536997727074,0.8214285714285714
2,168,0.6211828639572361,-695.6822730728828,-0.004681097921219378,0.5683956830988297,0.04115454454303262,0.03599639965172345,0.8214285714285714
3,168,0.6228423460463307,-696.4198464482537,-0.008515651030942645,0.3196171267372797,0.04189233456998853,0.03701491122652563,0.8214285714285714
4,168,0.6231730536672723,-696.567220503002,-0.00943753436823715,0.28918459564716137,0.04182312460645247,0.037029862231525254,0.8214285714285714
5,168,0.6232651049636115,-696.6082645607365,-0.010110963562205599,0.28137701547543303,0.0418428804300296,0.037067325801543455,0.8214285714285714
6,168,0.6229449801268361,-696.4655696937776,-0.010162478741577005,0.30974904531010206,0.041818830642642205,0.036978533538138014,0.8214285714285714
7,168,0.6232551630454359,-696.6038311508315,-0.011601235994181596,0.28220738598853506,0.042090793420716345,0.03725103432075382,0.8214285714285714
8,168,0.624213252059961,-697.0316113121922,-0.014617354684454137,0.21429079395362285,0.0426531090338348,0.03791969132330374,0.8214285714285714
9,168,0.6258743700414524,-697.775880337589,-0.01940079185207691,0.13681876170601112,0.04355814714113278,0.03902334134104082,0.8214285714285714
10,168,0.6271513246179372,-698.3502737974314,-0.024230131953566072,0.09839511671009207,0.04451457671634002,0.040186772204499094,0.8214285714285714
11,168,0.6262437140480377,-697.9418150843206,-0.02548973277832305,0.12424162130640415,0.04459996085380478,0.04039161322260182,0.8214285714285714
12,168,0.6234980926999385,-696.7121945355594,-0.02116643158061172,0.26276124705510473,0.043658786486448616,0.03929209060254563,0.8214285714285714
